date,patch,team_1,team_2,winner_team,bans,picks,team_player,players
2022-10-30,12.18,DRX,Gen.G,DRX,Yuumi,Sylas,Gen.G,Chovy
2022-10-30,12.18,Gen.G,DRX,Gen.G,Caitlyn,Azir,DRX,Zeka
2022-10-24,12.18,EDward Gaming,DRX,DRX,Yuumi,Sylas,DRX,Zeka
2022-10-24,12.18,EDward Gaming,DRX,DRX,Yuumi,Azir,DRX,Zeka
2022-10-23,12.18,DRX,EDward Gaming,DRX,Heimerdinger,Viktor,EDward Gaming,Scout
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Maokai,Azir,EDward Gaming,Scout
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Aatrox,Azir,EDward Gaming,Scout
2022-10-16,12.18,DRX,Rogue (European Team),DRX,Yuumi,LeBlanc,Rogue (European Team),Larssen
2022-10-16,12.18,Top Esports,DRX,Top Esports,Draven,Azir,DRX,Zeka
2022-10-15,12.18,DRX,GAM Esports,DRX,Maokai,Anivia,GAM Esports,Kati
2022-10-15,12.18,DRX,Rogue (European Team),DRX,Sejuani,Azir,Rogue (European Team),Larssen
2022-10-11,12.18,GAM Esports,DRX,DRX,Aatrox,Sylas,DRX,Zeka
2022-10-10,12.18,DRX,Top Esports,DRX,Maokai,Azir,Top Esports,knight
2022-10-08,12.18,Rogue (European Team),DRX,Rogue (European Team),Yuumi,Akali,DRX,Zeka
2022-10-03,12.18,DRX,MAD Lions,DRX,Akali,Vex,MAD Lions,Nisqy
2022-10-02,12.18,Isurus,DRX,DRX,LeBlanc,Yone,DRX,Zeka
2022-10-01,12.18,Istanbul Wildcats,DRX,DRX,Poppy,Akali,DRX,Zeka
2022-10-01,12.18,DRX,Saigon Buffalo,DRX,LeBlanc,Galio,Saigon Buffalo,Froggy
2022-09-30,12.18,DRX,Royal Never Give Up,DRX,Sylas,LeBlanc,Royal Never Give Up,Xiaohu
2022-10-30,12.18,JD Gaming,T1,T1,Graves,Azir,T1,Faker
2022-10-29,12.18,JD Gaming,T1,T1,Graves,Ryze,T1,Faker
2022-10-29,12.18,T1,JD Gaming,T1,Graves,Sylas,JD Gaming,Yagao
2022-10-29,12.18,T1,JD Gaming,JD Gaming,Graves,Taliyah,JD Gaming,Yagao
2022-10-21,12.18,Royal Never Give Up,T1,T1,Fiora,Akali,T1,Faker
2022-10-21,12.18,Royal Never Give Up,T1,T1,Yuumi,Akali,T1,Faker
2022-10-21,12.18,T1,Royal Never Give Up,T1,Aatrox,Akali,Royal Never Give Up,Xiaohu
2022-10-13,12.18,EDward Gaming,T1,T1,Fiora,Viktor,T1,Faker
2022-10-13,12.18,T1,Cloud9,T1,Aatrox,Akali,Cloud9,Jensen
2022-10-13,12.18,T1,Fnatic,T1,Fiora,Akali,Fnatic,Humanoid
2022-10-10,12.18,Cloud9,T1,T1,Maokai,Lissandra,T1,Faker
2022-10-08,12.18,Fnatic,T1,Fnatic,Yuumi,Akali,T1,Faker
2022-10-08,12.18,T1,EDward Gaming,T1,Aatrox,Azir,EDward Gaming,Scout
2022-10-31,12.18,Gen.G,DRX,DRX,Aphelios,Varus,DRX,Deft
2022-10-30,12.18,Gen.G,DRX,DRX,Renekton,Varus,DRX,Deft
2022-10-30,12.18,DRX,Gen.G,DRX,Akali,Varus,Gen.G,Ruler
2022-10-30,12.18,Gen.G,DRX,Gen.G,Renekton,Miss Fortune,DRX,Deft
2022-10-24,12.18,EDward Gaming,DRX,DRX,Renekton,Ezreal,DRX,Deft
2022-10-24,12.18,EDward Gaming,DRX,DRX,Aphelios,Kalista,DRX,Deft
2022-10-23,12.18,DRX,EDward Gaming,DRX,Ashe,Kalista,EDward Gaming,Viper
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Ashe,Aphelios,EDward Gaming,Viper
2022-10-23,12.18,DRX,EDward Gaming,EDward Gaming,Sylas,Sivir,EDward Gaming,Viper
2022-10-16,12.18,DRX,Rogue (European Team),DRX,Sejuani,Ezreal,Rogue (European Team),Comp
2022-10-16,12.18,Top Esports,DRX,Top Esports,Sejuani,Miss Fortune,DRX,Deft
2022-10-15,12.18,DRX,GAM Esports,DRX,Akali,Kalista,GAM Esports,Sty1e
2022-10-15,12.18,DRX,Rogue (European Team),DRX,Viktor,Kalista,Rogue (European Team),Comp
2022-10-11,12.18,GAM Esports,DRX,DRX,Camille,Tristana,DRX,Deft
2022-10-10,12.18,DRX,Top Esports,DRX,Heimerdinger,Draven,Top Esports,JackeyLove
2022-10-08,12.18,Rogue (European Team),DRX,Rogue (European Team),LeBlanc,Miss Fortune,DRX,Deft
2022-10-03,12.18,DRX,MAD Lions,DRX,Maokai,Miss Fortune,MAD Lions,UNF0RGIVEN
2022-10-02,12.18,Isurus,DRX,DRX,Thresh,Miss Fortune,DRX,Deft
