Champion,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G.1,G/M,DMG,DMG/M,KPAR,KS,GS,Lane
Nautilus,16,13,3,13,18.8%,0.5,4.75,5.69,1.3,34.69,1.09,6.8,212,4.1k,127,64.7%,5.2%,12.7%,Support
Lulu,15,7,8,7,53.3%,0.53,2.2,7.8,3.79,15.53,0.49,7.4,233,4.5k,141,66.1%,4.2%,12.9%,Support
Yuumi,14,10,12,2,85.7%,1.36,1.29,12.79,11.0,8.64,0.27,8.1,253,14.6k,454,88%,8.4%,13.7%,Support
Alistar,13,9,5,8,38.5%,0.31,3.54,8.23,2.41,29.31,0.95,6.7,218,4.3k,139,64.2%,2.3%,12.4%,Support
Tahm Kench,11,8,7,4,63.6%,0.45,2.27,7.73,3.6,36.64,1.24,7.1,239,4.8k,162,62.9%,3.5%,12.8%,Support
Rell,10,8,7,3,70%,0.3,2.7,9.6,3.67,33.8,1.1,7.2,236,3.5k,114,64.3%,1.9%,12.7%,Support
Thresh,9,5,6,3,66.7%,1.11,2.33,9.89,4.71,33.78,1.15,7.3,249,4.1k,139,75.6%,7.6%,13.4%,Support
Soraka,9,7,4,5,44.4%,0.22,2.89,8.0,2.85,17.89,0.54,7.3,220,5.5k,164,71.8%,1.9%,12.8%,Support
Braum,7,5,3,4,42.9%,0.71,3.0,8.0,2.9,34.43,1.11,7.3,235,4.9k,158,74.4%,6.1%,13.2%,Support
Lux,7,6,3,4,42.9%,0.71,2.71,6.0,2.47,35.29,1.11,7.6,238,8.6k,272,66.2%,7%,13.8%,Support
Sett,7,6,2,5,28.6%,2.14,4.71,7.14,1.97,38.57,1.3,7.3,247,7.6k,255,60.7%,14%,13.7%,Support
Heimerdinger,6,3,3,3,50%,1.0,3.33,6.5,2.25,30.0,0.9,8.7,259,15.4k,460,54.9%,7.3%,13.8%,Support
Karma,5,4,1,4,20%,0.6,3.4,5.0,1.65,17.8,0.57,7.1,225,8.4k,266,73.7%,7.9%,13.4%,Support
Shen,3,3,2,1,66.7%,0.0,1.33,6.67,5.0,35.0,1.27,6.4,232,3.1k,111,57.1%,0%,12.5%,Support
Rakan,3,3,1,2,33.3%,0.0,3.33,9.0,2.7,37.33,1.16,7.1,221,3.7k,115,81.8%,0%,12.9%,Support
Maokai,2,1,2,0,100%,1.5,3.0,10.0,3.83,37.5,1.14,8.5,258,9.2k,281,53.5%,7%,12.8%,Support
Blitzcrank,2,2,1,1,50%,0.5,2.5,7.0,3.0,31.5,1.21,6.4,245,4k,154,60%,4%,13%,Support
Morgana,2,2,0,2,0%,0.0,5.0,9.5,1.9,23.0,0.6,8.1,210,7.3k,190,73.1%,0%,12.3%,Support
Ashe,1,1,1,0,100%,1.0,3.0,12.0,4.33,32.0,0.83,10.0,257,17.1k,443,72.2%,5.6%,13.8%,Support
Taric,1,1,1,0,100%,0.0,3.0,17.0,5.67,45.0,1.27,8.9,251,3.4k,97,68%,0%,13.4%,Support
Bard,1,1,0,1,0%,0.0,1.0,5.0,5.0,30.0,1.02,5.6,191,4k,136,62.5%,0%,11.9%,Support
Nasus,1,1,0,1,0%,0.0,4.0,3.0,0.75,15.0,0.5,5.7,190,6.1k,203,75%,0%,12.1%,Support
Pyke,1,1,0,1,0%,2.0,8.0,4.0,0.75,47.0,1.19,10.1,256,8.4k,213,60%,20%,14.8%,Support
Senna,1,1,0,1,0%,0.0,3.0,1.0,0.33,24.0,0.94,5.8,229,4.2k,165,50%,0%,15.9%,Support
Seraphine,1,1,0,1,0%,0.0,1.0,7.0,7.0,367.0,9.33,15.4,392,11k,281,70%,0%,22%,Support
Singed,1,1,0,1,0%,1.0,3.0,3.0,1.33,150.0,4.98,7.8,258,5.2k,173,80%,20%,16.2%,Support
Syndra,1,1,0,1,0%,1.0,4.0,4.0,1.25,33.0,1.05,7.2,228,9k,287,71.4%,14.3%,14.6%,Support
